pair,var1,var2,mi,mi_pvalue,ji,ji_pvalue,chi2,chi2_pvalue,mi_significant,ji_significant,chi2_significant
V1-V5,1,5,0.025270185701972037,0.012998700129987,0.031914893617021274,0.9979002099790021,4.995921151095427,0.025407126506142803,True,False,True
V1-V6,1,6,0.05055421794673608,0.0013998600139986002,0.0,1.0,7.078673335371989,0.007800674224473616,True,False,True
V1-V7,1,7,0.05771305340127109,0.00029997000299970003,0.0,1.0,8.41553641698994,0.003720280146444015,True,False,True
V1-V8,1,8,0.09946727242377819,9.999000099990002e-05,0.25675675675675674,9.999000099990002e-05,25.261297449929746,5.006545475080752e-07,True,True,True
V1-V9,1,9,0.020296990254751606,0.025397460253974602,0.025974025974025976,0.9971002899710029,3.6133646699940316,0.05731704668644267,True,False,False
V1-V10,1,10,0.0025728486504781618,0.5001499850014999,0.07766990291262135,0.8563143685631437,0.37073950363908104,0.5426014510127817,False,False,False
V1-V11,1,11,0.020423313210382897,0.0163983601639836,0.16216216216216217,0.0163983601639836,5.469389995254115,0.019352379116637685,True,True,True
V1-V12,1,12,0.006684521061020188,0.24767523247675233,0.06666666666666667,0.944005599440056,1.2380476550609485,0.26584765030737223,False,False,False
V1-V13,1,13,0.0007126239491010416,0.8115188481151885,0.10256410256410256,0.40775922407759224,0.04223347380347721,0.8371753705320025,False,False,False
V1-V14,1,14,0.010000113980911194,0.1421857814218578,0.13725490196078433,0.0751924807519248,2.190326707773027,0.13887985479611448,False,False,False
V2-V3,2,3,0.39113423454419605,9.999000099990002e-05,0.631578947368421,9.999000099990002e-05,95.55828033738437,1.43600960108859e-22,True,True,True
V2-V4,2,4,0.06668775169876304,9.999000099990002e-05,0.22784810126582278,9.999000099990002e-05,16.848249913203716,4.049064952550297e-05,True,True,True
V2-V5,2,5,0.22326508724385305,9.999000099990002e-05,0.027586206896551724,1.0,50.115776573670445,1.4493700601913516e-12,True,False,True
V2-V6,2,6,0.3706904506852845,9.999000099990002e-05,0.6233766233766234,9.999000099990002e-05,91.90660261175324,9.086534098091346e-22,True,True,True
V2-V7,2,7,0.259422957118428,9.999000099990002e-05,0.5595238095238095,9.999000099990002e-05,67.39587936008655,2.221126925585839e-16,True,True,True
V2-V8,2,8,0.6864108555690259,9.999000099990002e-05,0.8831168831168831,9.999000099990002e-05,158.33989088967928,2.6083968470253702e-36,True,True,True
V2-V9,2,9,0.28176706646176325,9.999000099990002e-05,0.5783132530120482,9.999000099990002e-05,72.82802823245781,1.414536483577372e-17,True,True,True
V2-V10,2,10,0.1873328620444921,9.999000099990002e-05,0.5377358490566038,9.999000099990002e-05,47.6688175330591,5.046550400687448e-12,True,True,True
V2-V11,2,11,0.13100164704048867,9.999000099990002e-05,0.26666666666666666,9.999000099990002e-05,31.15144238861655,2.3866195719611166e-08,True,True,True
V2-V12,2,12,0.18121180795601743,9.999000099990002e-05,0.5327102803738317,9.999000099990002e-05,46.07197264512217,1.1398752845038703e-11,True,True,True
V2-V13,2,13,0.05304215397607548,0.00019998000199980003,0.09523809523809523,1.0,12.588772494369366,0.0003880709331674508,True,False,True
V2-V14,2,14,0.006244948068932121,0.25547445255474455,0.1,0.9291070892910709,1.2100443956226166,0.27132332963187,False,False,False
V3-V4,3,4,0.0518065096489911,0.0007999200079992001,0.0,1.0,7.281962084184417,0.006965041793278191,True,False,True
V3-V5,3,5,0.17155462000403396,9.999000099990002e-05,0.008064516129032258,1.0,34.21602941112795,4.932102051329434e-09,True,False,True
V3-V6,3,6,0.7086392309022499,9.999000099990002e-05,0.9423076923076923,9.999000099990002e-05,178.4699471080832,1.0459252698542046e-40,True,True,True
V3-V7,3,7,0.5568226436855491,9.999000099990002e-05,0.8135593220338984,9.999000099990002e-05,143.8634342407915,3.805826434978943e-33,True,True,True
V3-V8,3,8,0.500697539361033,9.999000099990002e-05,0.704225352112676,9.999000099990002e-05,116.67519008398125,3.3815009420035895e-27,True,True,True
V3-V9,3,9,0.4784649823746375,9.999000099990002e-05,0.7540983606557377,9.999000099990002e-05,127.0419588252463,1.8188710514750764e-29,True,True,True
V3-V10,3,10,0.21860973362372835,9.999000099990002e-05,0.4787234042553192,9.999000099990002e-05,52.954701342281886,3.413300647802046e-13,True,True,True
V3-V11,3,11,0.05252460006306683,0.00029997000299970003,0.22413793103448276,0.00029997000299970003,14.766351878584173,0.00012168762453577489,True,True,True
V3-V12,3,12,0.3223556540948408,9.999000099990002e-05,0.5384615384615384,9.999000099990002e-05,72.25954200617096,1.8867617740981032e-17,True,True,True
V3-V13,3,13,0.07691877346667712,9.999000099990002e-05,0.03636363636363636,1.0,16.418613748291072,5.0784082973543455e-05,True,False,True
V3-V14,3,14,0.041018511330297346,0.0007999200079992001,0.023809523809523808,1.0,7.722575491918401,0.005453454443456233,True,False,True
V4-V5,4,5,0.05778439643820238,9.999000099990002e-05,0.010309278350515464,1.0,10.756554351810532,0.0010391065981899092,True,False,True
V4-V6,4,6,0.05302649285275421,0.0011998800119988001,0.0,1.0,7.5055889916523695,0.006150782262290962,True,False,True
