Model,Train On,Test On,Accuracy,Precision,Recall
Logistic Regression,Red,Red,0.740625,0.7682926829268293,0.7368421052631579
Neural Network,Red,Red,0.703125,0.7794117647058824,0.6198830409356725
Logistic Regression,White,White,0.7408163265306122,0.7653333333333333,0.8803680981595092
Neural Network,White,White,0.7540816326530613,0.7751004016064257,0.8880368098159509
Logistic Regression,Red,White,0.6489795918367347,0.8362445414847162,0.5874233128834356
Neural Network,Red,White,0.6387755102040816,0.8253275109170306,0.5797546012269938
Logistic Regression,White,Red,0.6375,0.9230769230769231,0.3508771929824561
Neural Network,White,Red,0.55625,0.8536585365853658,0.2046783625730994
